id,node_type
6,OS Network
6,OS Network
6,OS Network
49,OS Network
49,OS Network
49,OS Network
14,OS Network
14,OS Network
14,OS Network
33,OS Network
33,OS Network
33,OS Network
60,OS Network
60,OS Network
60,OS Network
43,OS Network
43,OS Network
79,OS Network
79,OS Network
64,Docker
81,Docker
38,Docker
42,Docker
48,Docker
86,Docker
18,Docker
55,Docker
63,Docker
5,Docker
15,Docker
71,Docker
65,Docker
7,Docker
103,Docker
88,Docker
37,Docker
28,Docker
10,Docker
46,DB State
46,DB State
46,DB State
46,DB State
80,DB State
80,DB State
80,DB State
80,DB State
69,DB State
69,DB State
69,DB State
69,DB State
87,DB State
87,DB State
87,DB State
87,DB State
23,DB Session
23,DB Session
23,DB Session
23,DB Session
47,DB Session
47,DB Session
47,DB Session
47,DB Session
68,DB Session
68,DB Session
68,DB Session
68,DB Session
27,DB Session
27,DB Session
27,DB Session
27,DB Session
25,Docker;Docker
83,Docker CPU
83,Docker CPU
83,Docker CPU
83,Docker CPU
45,Docker CPU
45,Docker CPU
45,Docker CPU
50,Docker CPU
50,Docker CPU
50,Docker CPU
91,Docker CPU
91,Docker CPU
91,Docker CPU
106,Docker CPU
106,Docker CPU
106,Docker CPU
104,Docker CPU
104,Docker CPU
104,Docker CPU
52,DB State;DB State
52,DB State;DB State
52,DB State;DB State
93,DB Session;DB Session
93,DB Session;DB Session
93,DB Session;DB Session
